Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2024 Actuals,FY 2025 Enacted,FY 2025 Supplemental,FY 2025 Total,FY 2026 Disc Request,FY 2026 Reconciliation Request,FY 2026 Total
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,159,0604850N,SSN(X),Y,"313,444","333,788",,"333,788","365,987",,"365,987"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,160,0605013M,Information Technology Development,Y,"29,862","15,218",,"15,218","16,000",,"16,000"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,161,0605013N,Information Technology Development,Y,"291,314","336,504",,"336,504","192,784",,"192,784"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,162,0605024N,Anti-Tamper Technology Support,Y,"8,314","3,317",,"3,317","3,428",,"3,428"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,163,0605180N,TACAMO Modernization,Y,"200,494","755,316",,"755,316","1,243,978",,"1,243,978"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,164,0605212M,CH-53K RDTE,Y,"154,067","71,381",,"71,381","135,432",,"135,432"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,165,0605215N,Mission Planning,Y,"82,144","115,390",,"115,390","120,255",,"120,255"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,166,0605217N,Common Avionics,Y,"79,224","87,053",,"87,053","67,944",,"67,944"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,167,0605220N,Ship to Shore Connector (SSC),Y,"1,339","5,697",,"5,697","7,267","1,688","8,955"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,168,0605285N,Next Generation Fighter,Y,,"453,828",,"453,828","74,320",,"74,320"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,169,0605327N,T-AO 205 Class,Y,71,,,,,,
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,170,0605414N,Unmanned Carrier Aviation (UCA),Y,"275,329","255,031",,"255,031","305,487",,"305,487"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,171,0605450M,Joint Air-to-Ground Missile (JAGM),Y,378,"20,654",,"20,654","59,077",,"59,077"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,172,0605500N,Multi-mission Maritime Aircraft (MMA),Y,"35,218","34,096",,"34,096","41,129",,"41,129"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,173,0605504N,Multi-Mission Maritime (MMA) Increment III,Y,"123,347","124,366",,"124,366","103,397",,"103,397"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,174,0605516N,Long Range Fires,Y,,"120,728",,"120,728","138,443",,"138,443"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,175,0605611M,Marine Corps Assault Vehicles System Development & Demonstration,Y,"87,681","46,739",,"46,739","44,644",,"44,644"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,176,0605813M,Joint Light Tactical Vehicle (JLTV) System Development & Demonstration,Y,"2,526","10,748",,"10,748","6,984",,"6,984"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,177,0204202N,Destroyers Guided Missile (DDG-1000),Y,"215,762","224,860",,"224,860","58,817",,"58,817"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,178,0301377N,Countering Advanced Conventional Weapons (CACW),Y,"17,531","19,517",,"19,517","16,906",,"16,906"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,179,0302315N,Non-Kinetic Countermeasure Support,Y,,"8,324",,"8,324","23,818",,"23,818"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,180,0303267N,Auctioned Spectrum Relocation Fund,Y,"41,997",,,,,,
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,181,0303667N,Citizen Broadband Radio System,Y,"2,659",,,,,,
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,182,0303867N,AMBIT - Post-Auctioned SRF,Y,"176,558",,,,,,
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,183,0304785N,ISR & Info Operations,Y,"163,620","188,392",,"188,392","170,567",,"170,567"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,184,0305282M,Joint Fires Network (JFN),Y,,,,,,"26,420","26,420"
1319N,"Research, Development, Test and Evaluation, Navy",N,05,System development and demonstration,185,0306250M,Cyber Operations Technology Development,Y,"2,407","7,581",,"7,581","11,936",,"11,936"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,186,0604256N,Threat Simulator Development,Y,"22,051","25,823",,"25,823","25,133",,"25,133"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,187,0604258N,Target Systems Development,Y,"18,183","17,224",,"17,224","14,191",,"14,191"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,188,0604759N,Major T&E Investment,Y,"88,193","65,672",,"65,672","61,946",,"61,946"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,189,0605152N,Studies and Analysis Support - Navy,Y,"3,078","6,216",,"6,216","3,596",,"3,596"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,190,0605154N,Center for Naval Analyses,Y,"43,834","43,648",,"43,648","31,695",,"31,695"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,191,0605502N,Small Business Innovative Research,Y,"655,593",,,,,,
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,192,0605804N,Technical Information Services,Y,"1,492","1,009",,"1,009",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,193,0605853N,"Management, Technical  & International Support",Y,"153,926","137,521",,"137,521","133,538","57,860","191,398"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,194,0605856N,Strategic Technical Support,Y,"3,897","3,536",,"3,536","3,709",,"3,709"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,195,0605863N,RDT&E Ship and Aircraft Support,Y,"198,624","152,176",,"152,176","151,479",,"151,479"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,196,0605864N,Test and Evaluation Support,Y,"485,476","477,823",,"477,823","463,725",,"463,725"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,197,0605865N,Operational Test and Evaluation Capability,Y,"28,863","30,603",,"30,603","30,880",,"30,880"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,198,0605866N,Navy Space and Electronic Warfare (SEW) Support,Y,"26,551","23,668",,"23,668","22,563",,"22,563"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,199,0605867N,SEW Surveillance/Reconnaissance Support,Y,"9,183","6,390",,"6,390","7,325",,"7,325"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,200,0605873M,Marine Corps Program Wide Support,Y,"33,641","32,700",,"32,700","28,816",,"28,816"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,201,0605898N,Management HQ - R&D,Y,"40,638","42,381",,"42,381","42,751",,"42,751"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,202,0606295M,Marine Aviation Developmental Management and Support,Y,,"5,000",,"5,000","4,732",,"4,732"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,203,0606355N,Warfare Innovation Management,Y,"36,460","50,652",,"50,652","37,551",,"37,551"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,204,0305327N,Insider Threat,Y,"2,236","2,920",,"2,920","2,653",,"2,653"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,205,0902498N,Management Headquarters (Departmental Support Activities),Y,"2,166","2,234",,"2,234","2,041",,"2,041"
1319N,"Research, Development, Test and Evaluation, Navy",N,06,Management Support,206,0909999N,Financing for Cancelled Account Adjustments,Y,"6,741",,,,,,
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,208,0604840M,F-35 C2D2,Y,"462,241","480,759",,"480,759","494,034",,"494,034"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,209,0604840N,F-35 C2D2,Y,"482,795","466,186",,"466,186","475,710",,"475,710"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,210,0605520M,MARINE CORPS AIR DEFENSE WEAPONS SYSTEMS,Y,"96,443","86,108",,"86,108","56,140","34,206","90,346"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,211,0607658N,Cooperative Engagement Capability (CEC),Y,"136,251","142,552",,"142,552","136,436",,"136,436"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,212,0101221N,Strategic Sub & Weapons System Support,Y,"326,254","335,294",,"335,294","807,099",,"807,099"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,213,0101224N,SSBN Security Technology Program,Y,"60,280","61,012",,"61,012","63,252",,"63,252"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,214,0101226N,Submarine Acoustic Warfare Development,Y,"95,931","100,667",,"100,667","56,401","55,000","111,401"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,215,0101402N,Navy Strategic Communications,Y,"49,362","29,743",,"29,743","52,404",,"52,404"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,216,0204136N,F/A-18 Squadrons,Y,"279,537","348,286",,"348,286","369,863",,"369,863"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,217,0204228N,Surface Support,Y,"9,727","8,420",,"8,420",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,218,0204229N,Tomahawk and Tomahawk Mission Planning Center (TMPC),Y,"119,505","166,150",,"166,150","151,177",,"151,177"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,219,0204311N,Integrated Surveillance System,Y,"80,232","72,473",,"72,473","71,800",,"71,800"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,220,0204313N,Ship-Towed Array Surveillance Systems,Y,"1,103","1,428",,"1,428","1,990",,"1,990"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,221,0204413N,Amphibious Tactical Support Units (Displacement Craft),Y,"1,983","2,238",,"2,238",,"1,711","1,711"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,222,0204460M,Ground/Air Task Oriented Radar (G/ATOR),Y,"63,427","41,346",,"41,346","32,045",,"32,045"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,223,0204571N,Consolidated Training Systems Development,Y,"112,735","159,648",,"159,648","199,067",,"199,067"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,224,0204575N,Electronic Warfare (EW) Readiness Support,Y,"65,284","229,164",,"229,164","115,834",,"115,834"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,225,0205601N,Anti-Radiation Missile Improvement,Y,"83,564","22,066",,"22,066","33,659",,"33,659"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,226,0205620N,Surface ASW Combat System Integration,Y,"28,872","29,887",,"29,887",,,
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,227,0205632N,MK-48 ADCAP,Y,"202,302","144,935",,"144,935","84,338","100,000","184,338"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,228,0205633N,Aviation Improvements,Y,"138,457","136,276",,"136,276","127,421",,"127,421"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,229,0205675N,Operational Nuclear Power Systems,Y,"150,790","167,098",,"167,098","209,200",,"209,200"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,230,0206313M,Marine Corps Communications Systems,Y,"154,911","150,050",,"150,050","125,488",,"125,488"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,231,0206335M,Common Aviation Command and Control System (CAC2S),Y,"12,208","18,332",,"18,332","17,813",,"17,813"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,232,0206623M,Marine Corps Ground Combat/Supporting Arms Systems,Y,"92,667","75,377",,"75,377","70,139",,"70,139"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,233,0206624M,Marine Corps Combat Services Support,Y,"28,503","33,641",,"33,641","20,419",,"20,419"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,234,0206625M,USMC Intelligence/Electronic Warfare Systems,Y,"46,762","37,372",,"37,372","34,289",,"34,289"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,235,0206629M,Amphibious Assault Vehicle,Y,365,,,,,,
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,236,0207161N,Tactical AIM Missiles,Y,"35,502","31,359",,"31,359","34,650",,"34,650"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,237,0207163N,Advanced Medium Range Air-to-Air Missile (AMRAAM),Y,"28,837","29,638",,"29,638","26,286",,"26,286"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,238,0208043N,Planning and Decision Aid System (PDAS),Y,"3,554","3,559",,"3,559","3,572",,"3,572"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,242,0303138N,Afloat Networks,Y,"49,071","56,915",,"56,915","70,742",,"70,742"
1319N,"Research, Development, Test and Evaluation, Navy",N,07,Operational system development,243,0303140N,Information Systems Security Program,Y,"31,475","35,339",,"35,339","64,147",,"64,147"
